,track_name,title,url,job_type,description,experience_level,skills,proposals,interviewing,invites_sent,unanswered_invites,client_total_spent,duration,client_location,active,hire,avg_budget,less_than_30,more_than_30,flexible
0,Data_Analyst,EMIR/MiFIR Regulatory Reporting Assistance -- Construct 3 EMIR/MIFIR (UK FCA) files,https://www.upwork.com/jobs/EMIR-MiFIR-Regulatory-Reporting-Assistance-Construct-EMIR-MIFIR-FCA-files_~021898298427583639504/?referrer_url_path=/nx/search/jobs/,Fixed-price,"I'm looking for an experienced financial data analyst with expertise in EMIR & MiFIR regulatory reporting to help populate three structured report files (Collateral, TradeExport, MIFIR) based on provided guidelines and trade data. The ideal candidate should:

Understand EMIR & MiFIR reporting requirements, including key fields like UTI, LEIs, collateralization, and transaction lifecycle events.
Extract and map data from provided trade, entity, and collateral datasets to ensure compliance with regulatory standards.
Validate and format data per ISO 8601 (timestamps), regulatory classifications (ISINs, counterparty types), and action types (NEWT, MODI, CANC).
Ensure data integrity by cross-referencing reporting templates with EMIR/MiFIR field descriptions and industry guidelines.
Experience in Excel, financial data processing, regulatory compliance, and transaction reporting is required. Familiarity with CSV-based reporting, trade repositories (e.g., DTCC, Regis-TR), and UK (FCA) financial regulations is a plus. Looking for someone detail-oriented who can ensure accuracy and completeness in the reporting process.

Someone who has done this before, will be very easy task, within a day.
To just know what and how to populate the cells in the templates for EMIR MIFIR reporting (FCA) .",Expert,"['Legal', 'Microsoft Excel', 'Legal Consulting', 'Data Entry']",Less than 5,0.0,0.0,0.0,$75 ,0,CYP,0.0,1.0,150.0,0,0,1
1,Data_Analyst,GIS analyst,https://www.upwork.com/jobs/GIS-span-class-highlight-analyst-span_~021898289043888252963/?referrer_url_path=/nx/search/jobs/,Fixed-price,"Looking for an expert GIS analyst/developer to work on this project with these data excel sheets, the purpose of this project is to
Use GIS tools to analyze spatial
distribution, identifying areas with high demand and access disparities.
2. Quantitative Data Collection:
• Gather and analyze administrative and political data on student and educator programs,
as well as data on the ethical and cultural representation of USDA, NGO, and CBO
groups involved in youth agriculture initiatives.
• Analyze trend data on applicants and the application process, effectiveness of existing
grant programs, and demographic data of producers and owners.

So the data is already been collected but need you to spatially show this with GIS maps, must use ArcGIS account, i have one that you can log into, and must know how to use ArcGIS products, the finished product must be done on ArcGIS story maps or some other type of presentation software.",Intermediate,"['ETL', 'GIS', 'Data Extraction', 'Microsoft Excel', 'ArcGIS', 'Blockchain', 'Data Scraping', 'Data Analysis', 'Data Entry']",15 to 20,0.0,1.0,0.0,$9K,0,United States,3.0,245.0,20.0,0,0,1
2,Data_Analyst,Business Analytics Tutor,https://www.upwork.com/jobs/Business-Analytics-Tutor_~021898236249576976336/?referrer_url_path=/nx/search/jobs/,Hourly,"Hi, we are looking for some business analysts who have real world business analytic and data science project experience to guide our college students practise the project.

Please show me some of your past data analytics projects, and during the job you will guide the intern to complete that project again.  It doesn't have to be a big project, but it should be production level and complex enough for the students to finish in about 8 weeks assuming the students are college graduate. They should work on one internship project, not smaller separate assignments. The project should have real world use, or it is something you have built and designed for your past employer, however, do not disclose any confidential information of the customers.

It is important that you have the data for the interns to work on (not a public data set). Also, must have some type of coding rather than purely excel projects.
Overall the job should be easy if you have some relevant projects in mind.

These are your duties:
- 30-minute weekly Zoom meetings with interns
- Extra up to 30min zoom meeting weekly if the interns are unclear on what to work on

Time commitment: about 1 hours per week per student.

We are based in California, so we prefer those who are comfortable working in US time zone.

If the students like working with you, we want to have you long-term. You can take multiple students to mentor, and we will pay you separately for mentoring each one.

Thank you.",Expert,"['ETL', 'Data Extraction', 'Microsoft Excel', 'Business Analysis', 'Financial Analysis', 'Blockchain', 'Data Scraping', 'Data Analysis', 'Data Entry']",5 to 10,2.0,0.0,0.0,$9.3K,4,United States,20.0,23.0,17.5,1,0,0
3,Data_Analyst,Data research job,https://www.upwork.com/jobs/span-class-highlight-Data-span-research-job_~021898214024471785424/?referrer_url_path=/nx/search/jobs/,Fixed-price,"I’m looking for a detail-oriented data analyst to help collect and organize restaurant menus from various sources. Accuracy is critical, so if you cannot ensure precise data entry and organization, please do not apply.

Job Details:
• Task: Gather and compile links to restaurant menus into a structured format (CSV, etc.)
• Accuracy is a must.
• Submit your best price per menu or per hour.
• Must start immediately.
• Turnaround time and efficiency are key.

If you have experience in data collection, scraping, or entry and can ensure fast, reliable, and accurate work, I’d love to hear from you.

Please include your pricing structure in your proposal.

A deadline for this task is within 24 hours. Do not apply if you were not able to make it. Payment will be on completion with total accuracy.",Intermediate,"['Microsoft Excel', 'Lead Generation', 'Company Research', 'Online Research', 'Market Analysis', 'Topic Research', 'Data Entry']",20 to 50,12.0,7.0,1.0,$80K,0,United States,9.0,60.0,25.0,0,0,1
4,Data_Analyst,Excel Data Analyst Needed for Retention and Program Popularity Insights,https://www.upwork.com/jobs/Excel-span-class-highlight-Data-span-span-class-highlight-Analyst-span-Needed-for-Retention-and-Program-Popularity-Insights_~021898150560652274666/?referrer_url_path=/nx/search/jobs/,Hourly,"We are seeking an experienced Excel Data Analyst to help us transform raw data into actionable insights related to customer retention and program popularity. The ideal candidate will have a strong analytical background and be proficient in advanced Excel functions to analyze and visualize data. You will work closely with our team to identify trends and provide recommendations based on your findings. If you have a knack for turning complex data into clear insights, we want to hear from you!",Intermediate,"['ETL', 'Data Extraction', 'Microsoft Excel', 'Blockchain', 'Data Scraping', 'Data Analysis', 'Data Entry']",15 to 20,6.0,9.0,2.0,0,2,United States,,,22.5,1,0,0
5,Data_Analyst,Seeking a Financial Analyst for a Real Estate Consultant,https://www.upwork.com/jobs/Seeking-Financial-span-class-highlight-Analyst-span-for-Real-Estate-Consultant_~021898142647210059811/?referrer_url_path=/nx/search/jobs/,Hourly,"We are seeking an experienced Financial Analyst to provide high-level support to a Consultant specializing in real estate projects. In this role, you will manage digital workspaces efficiently, coordinate schedules and research information, look at financial budgets and income statements, analyze real estate projections, assist with financial analysis, and help create presentations that drive investment decisions.

A strong proficiency in Google Suite is required, with an emphasis on Google Slides and Google Sheets for financial modeling, data analysis, and presentation design.
Additionally, the ideal candidate should have experience in real estate investments and /or financial analysis —from financial models to market research and investment structuring- and must already be working in real estate or finance.

You must also be proficient in AI tools, including ChatGPT and Claude (experience with other AI tools that enhance productivity is also valuable). AI will be used to support research, document drafting, data analysis, and workflow optimization.

Responsibilities:
- Assist with financial modeling, calculations, and investment analysis
- Create and refine presentations (decks) for investors using Google Slides
- Research and compile real estate market insights
- Assist in reaching out to investment contacts and potential business partners
- Handling calls, emails, and calendar management
- Use and manage AI tools to enhance workflow and decision-making

Requirements:
- Excellent written and spoken English
- Strong Google Suite skills, particularly Google Slides and Sheets
- Ability to understand and analyze real estate investment concepts
- Experience with AI tools (ChatGPT, Claude; others are a plus)
- Detail-oriented with the ability to follow instructions clearly
- Prior experience as a virtual assistant is a plus

We Offer:
- $5 USD per hour pay rate
- Monday to Friday, 9 am to 5 pm PST (40 hours per week)
- Start: Immediately

If you’re interested and meet the requirements, please email your resume, a cover letter (2 paragraphs explaining your interest and 1 paragraph on your AI experience), and a 1-2 minute video (in English explaining your financial experience)",Intermediate,"['Staffing Needs', 'Financial Analysis', 'Administrative Support', 'Presentations', 'Form Completion', 'Financial Projection', 'Communications']",Less than 5,0.0,0.0,0.0,$17K,4,USA,3.0,7.0,5.0,0,1,0
6,Data_Analyst,Causal Impact Estimation Expert Needed for Treatment Effect Analysis,https://www.upwork.com/jobs/Causal-Impact-Estimation-Expert-Needed-for-Treatment-Effect-Analysis_~021898137958224178154/?referrer_url_path=/nx/search/jobs/,Fixed-price,"We seek a skilled data analyst to assess the causal effects of a new payment method introduced for an e-commerce website.
The aim is to estimate for Germany and the Netherlands what the causal impact and the incremental uplift were by drawing comparisons with other countries. The ideal candidate will have a solid background in statistics, econometrics, or a related field, with specialized knowledge in causal inference methods, ideally in Python.

Deliverables:
- Perform comparative analyses to evaluate the causal effects of treatment interventions in Germany and the Netherlands vs other countries
- Employ sophisticated statistical techniques to analyze and interpret data sets.

Required Qualifications
- Demonstrated experience with causal inference techniques and data analysis.
- High proficiency in programming languages for data analysis
- Strong analytical capabilities and attention to detail.
- Effective communication skills, with the ability to present complex findings in a clear manner.",Intermediate,"['ETL', 'Data Extraction', 'Microsoft Excel', 'Quantitative Analysis', 'Statistics', 'Data Entry', 'Blockchain', 'Data Scraping', 'Data Analysis', 'Python']",10 to 15,0.0,0.0,0.0,$4.3K,0,Netherlands,0.0,62.0,20.0,0,0,1
7,Data_Analyst,Account Executive,https://www.upwork.com/jobs/Account-Executive_~021898088868801818576/?referrer_url_path=/nx/search/jobs/,Hourly,"KENTECH Consulting Inc. is an award-winning background technology screening company. We are the creators of innovative projects such as eKnowID.com—the first consumer background checking system of its kind—and ClarityIQ, a high-tech/high-touch investigative case management system.

MISSION
We're on a mission to help the world make clear and informed hiring decisions.

VALUE
In order to achieve our mission, our team embodies the core values aligned with it:
core-values

Customer Focused: We are customer-focused and results-driven.
Growth Minded: We believe in collaborative learning and industry best practices to deliver excellence.
Fact Finders: We are passionate investigators for discovery and truth.
Community and Employee Partnerships: We believe there is no greater power for transformation than delivering on what communities and employees care about.
IMPACT
As a small, agile company, we seek high performers who relish the idea that their efforts will directly impact our customers and help shape the next evolution of background investigations.


Role Overview
Are you highly organized, detail-oriented, and skilled at ensuring smooth communication across departments? Do you thrive in a fast-paced environment where accuracy and efficiency are critical?

KENTECH Consulting Inc. is seeking a customer-focused Intake Specialist to serve as the first point of contact in our background investigation process. In this role, you will play a vital role in case intake, coordination, and data validation, supporting timely and accurate service delivery for our clients.

Key Responsibilities

✔ Case Intake & Data Management – Serve as the initial point of contact for incoming background check requests, ensuring accurate data capture and case setup.
✔ Departmental Coordination – Work closely with Investigative Analysts and Verifications teams to facilitate seamless handoffs and consistent service.
✔ Data Validation & Accuracy – Review client-submitted information, address missing details, and ensure complete, error-free records.
✔ Case Management System Updates – Maintain accurate intake records in ClarityIQ or other case management systems.
✔ Prioritization & Time Management – Manage intake tasks based on client needs, service standards, and deadlines.
✔ Client Communication & Support – Engage with clients to clarify initial case details and foster proactive, customer-first interactions.
✔ Process Improvement – Contribute to ongoing efficiency enhancements in intake workflows and client satisfaction initiatives.

Qualifications & Experience

✔ 1+ years of experience in intake, customer service, or administrative roles (background in healthcare, social services, legal, or background screening is a plus).
✔ Strong attention to detail – Ability to ensure accurate data entry and record-keeping.
✔ Effective written & verbal communication – Client-facing experience preferred.
✔ Tech-Savvy – Proficient in Microsoft Office, Google Suite, and familiarity with case management or CRM systems is a plus.
✔ Ability to adapt to evolving processes in a dynamic, deadline-driven environment.

Soft Skills

🔍 Critical Thinking – Ability to evaluate information accurately and make informed decisions.
🗣 Clear Communication – Strong verbal and written skills for client and team interactions.
🔎 Attention to Detail – Commitment to thorough and precise data management.
🤝 Team Collaboration – Willingness to work cooperatively across departments to ensure seamless operations.
⚡ Problem-Solving – A proactive approach to resolving challenges and optimizing intake processes.",Intermediate,"['Microsoft Excel', 'Microsoft Windows', 'Relationship Management', 'Administrative Support', 'Data Entry']",15 to 20,0.0,0.0,0.0,$166K,4,United States,4.0,31.0,10.0,0,1,0
8,Data_Analyst,HubSpot Automation Analyst,https://www.upwork.com/jobs/HubSpot-Automation-span-class-highlight-Analyst-span_~021898103138663742586/?referrer_url_path=/nx/search/jobs/,Fixed-price,"We are looking for an experienced HubSpot Automation Analyst to help build and optimize HubSpot automation processes. The ideal candidate will have a strong background in HubSpot automation and experience with Zapier to streamline sales, marketing, and customer service workflows. This is a great opportunity to contribute to the growth and success of the company by ensuring seamless and efficient automation within the HubSpot environment.

Key Responsibilities:

Design, implement, and optimize HubSpot automation workflows for sales, marketing, and customer service.
Integrate HubSpot with other tools using Zapier to automate processes and data flow across platforms.
Develop customized reports and dashboards to track automation performance and KPIs.
Collaborate with internal teams to understand automation needs and provide solutions.
Troubleshoot and resolve any issues related to HubSpot automation and integrations.
Provide training and support to team members on automation best practices and workflows.
Requirements:

Proven experience working with HubSpot automation tools, including workflow creation and management.
Strong experience with Zapier for integrating HubSpot with other applications.
Solid understanding of marketing, sales, and customer service processes and how to automate them.
Ability to create and optimize complex workflows to improve efficiency.
Strong problem-solving and analytical skills.
Excellent communication skills to collaborate with internal teams.
Preferred Qualifications:

HubSpot certification.
Experience with other automation platforms or tools is a plus.
Familiarity with SaaS platforms or similar industries is a bonus.
If you're passionate about automation, have a strong background in HubSpot, and are ready to make an impact, we'd love to hear from you! Apply now with your resume and relevant experience.",Intermediate,"['Email Automation', 'HubSpot', 'Intercom', 'Zendesk', 'Lead Management Automation', 'Chatbot Development', 'Marketing Automation']",20 to 50,0.0,0.0,0.0,$68K,0,United States,2.0,12.0,2400.0,0,0,1
9,Data_Analyst,Hiring: Data Analyst for Gym Financial Management,https://www.upwork.com/jobs/Hiring-span-class-highlight-Data-span-span-class-highlight-Analyst-span-for-Gym-Financial-Management_~021898056408570112035/?referrer_url_path=/nx/search/jobs/,Hourly,"Are you a numbers expert with a passion for organization and efficiency? My gym is looking for a skilled Data Analyst to help manage finances, track expenses, and optimize financial processes.

Responsibilities:
✅ Analyze and organize financial data
✅ Track income, expenses, and budgeting
✅ Provide insights to improve financial performance
✅ Ensure accurate financial reporting and record-keeping

Ideal Candidate:
✔ Experience in financial analysis, bookkeeping, or data management
✔ Proficient in Excel, QuickBooks, or other financial software
✔ Detail-oriented with strong problem-solving skills
✔ Ability to provide clear financial insights for better business decisions

This is a great opportunity to work in a fitness-driven environment while applying your analytical expertise.",Expert,"['Facebook Ads Manager', 'Microsoft Excel', 'Resume Screening', 'HR & Business Services', 'Recruiting', 'Media Buying', 'Data Entry']",20 to 50,0.0,0.0,0.0,0,2,United States,1.0,1.0,200.0,0,0,1
